Home Team,Away Team,Bookmaker,Bet Type,Team,Odds
Mississippi St Bulldogs,Texas A&M Aggies,BetRivers,spreads,Mississippi St Bulldogs,1.83
Mississippi St Bulldogs,Texas A&M Aggies,BetRivers,spreads,Texas A&M Aggies,1.85
Pittsburgh Panthers,Syracuse Orange,FanDuel,h2h,Pittsburgh Panthers,1.68
Pittsburgh Panthers,Syracuse Orange,FanDuel,h2h,Syracuse Orange,2.16
Pittsburgh Panthers,Syracuse Orange,FanDuel,spreads,Pittsburgh Panthers,1.88
Pittsburgh Panthers,Syracuse Orange,FanDuel,spreads,Syracuse Orange,1.88
Pittsburgh Panthers,Syracuse Orange,DraftKings,h2h,Pittsburgh Panthers,1.71
Pittsburgh Panthers,Syracuse Orange,DraftKings,h2h,Syracuse Orange,2.1
Pittsburgh Panthers,Syracuse Orange,DraftKings,spreads,Pittsburgh Panthers,1.8
Pittsburgh Panthers,Syracuse Orange,DraftKings,spreads,Syracuse Orange,1.95
Pittsburgh Panthers,Syracuse Orange,BetMGM,h2h,Pittsburgh Panthers,1.65
Pittsburgh Panthers,Syracuse Orange,BetMGM,h2h,Syracuse Orange,2.2
Pittsburgh Panthers,Syracuse Orange,BetMGM,spreads,Pittsburgh Panthers,1.95
Pittsburgh Panthers,Syracuse Orange,BetMGM,spreads,Syracuse Orange,1.8
Pittsburgh Panthers,Syracuse Orange,Bovada,h2h,Pittsburgh Panthers,2.15
Pittsburgh Panthers,Syracuse Orange,Bovada,h2h,Syracuse Orange,1.67
Pittsburgh Panthers,Syracuse Orange,Bovada,spreads,Pittsburgh Panthers,1.87
Pittsburgh Panthers,Syracuse Orange,Bovada,spreads,Syracuse Orange,1.87
Pittsburgh Panthers,Syracuse Orange,BetRivers,h2h,Pittsburgh Panthers,1.7
Pittsburgh Panthers,Syracuse Orange,BetRivers,h2h,Syracuse Orange,2.0
Pittsburgh Panthers,Syracuse Orange,BetRivers,spreads,Pittsburgh Panthers,1.83
Pittsburgh Panthers,Syracuse Orange,BetRivers,spreads,Syracuse Orange,1.82
Buffalo Bulls,Western Michigan Broncos,FanDuel,h2h,Buffalo Bulls,7.3
Buffalo Bulls,Western Michigan Broncos,FanDuel,h2h,Western Michigan Broncos,1.08
Buffalo Bulls,Western Michigan Broncos,FanDuel,spreads,Buffalo Bulls,1.91
Buffalo Bulls,Western Michigan Broncos,FanDuel,spreads,Western Michigan Broncos,1.85
Buffalo Bulls,Western Michigan Broncos,DraftKings,h2h,Buffalo Bulls,6.75
Buffalo Bulls,Western Michigan Broncos,DraftKings,h2h,Western Michigan Broncos,1.11
Buffalo Bulls,Western Michigan Broncos,DraftKings,spreads,Buffalo Bulls,1.95
Buffalo Bulls,Western Michigan Broncos,DraftKings,spreads,Western Michigan Broncos,1.8
Buffalo Bulls,Western Michigan Broncos,BetMGM,h2h,Buffalo Bulls,5.75
Buffalo Bulls,Western Michigan Broncos,BetMGM,h2h,Western Michigan Broncos,1.13
Buffalo Bulls,Western Michigan Broncos,BetMGM,spreads,Buffalo Bulls,1.95
Buffalo Bulls,Western Michigan Broncos,BetMGM,spreads,Western Michigan Broncos,1.8
Buffalo Bulls,Western Michigan Broncos,Bovada,h2h,Buffalo Bulls,6.5
Buffalo Bulls,Western Michigan Broncos,Bovada,h2h,Western Michigan Broncos,1.1
Buffalo Bulls,Western Michigan Broncos,Bovada,spreads,Buffalo Bulls,1.8
Buffalo Bulls,Western Michigan Broncos,Bovada,spreads,Western Michigan Broncos,1.95
Buffalo Bulls,Western Michigan Broncos,BetRivers,h2h,Buffalo Bulls,6.25
Buffalo Bulls,Western Michigan Broncos,BetRivers,h2h,Western Michigan Broncos,1.07
Buffalo Bulls,Western Michigan Broncos,BetRivers,spreads,Buffalo Bulls,1.81
Buffalo Bulls,Western Michigan Broncos,BetRivers,spreads,Western Michigan Broncos,1.82
Florida Gators,Oklahoma Sooners,DraftKings,h2h,Florida Gators,1.04
Florida Gators,Oklahoma Sooners,DraftKings,h2h,Oklahoma Sooners,13.0
Florida Gators,Oklahoma Sooners,DraftKings,spreads,Florida Gators,1.87
Florida Gators,Oklahoma Sooners,DraftKings,spreads,Oklahoma Sooners,1.87
Florida Gators,Oklahoma Sooners,FanDuel,h2h,Florida Gators,1.03
Florida Gators,Oklahoma Sooners,FanDuel,h2h,Oklahoma Sooners,11.6
Florida Gators,Oklahoma Sooners,FanDuel,spreads,Florida Gators,1.82
Florida Gators,Oklahoma Sooners,FanDuel,spreads,Oklahoma Sooners,1.94
Florida Gators,Oklahoma Sooners,BetMGM,h2h,Florida Gators,1.03
Florida Gators,Oklahoma Sooners,BetMGM,h2h,Oklahoma Sooners,11.0
Florida Gators,Oklahoma Sooners,BetMGM,spreads,Florida Gators,1.95
Florida Gators,Oklahoma Sooners,BetMGM,spreads,Oklahoma Sooners,1.8
Florida Gators,Oklahoma Sooners,Bovada,spreads,Florida Gators,1.87
Florida Gators,Oklahoma Sooners,Bovada,spreads,Oklahoma Sooners,1.87
Florida Gators,Oklahoma Sooners,BetRivers,spreads,Florida Gators,1.82
Florida Gators,Oklahoma Sooners,BetRivers,spreads,Oklahoma Sooners,1.85
Toledo Rockets,Ball State Cardinals,FanDuel,h2h,Ball State Cardinals,2.64
Toledo Rockets,Ball State Cardinals,FanDuel,h2h,Toledo Rockets,1.47
Toledo Rockets,Ball State Cardinals,FanDuel,spreads,Ball State Cardinals,1.87
Toledo Rockets,Ball State Cardinals,FanDuel,spreads,Toledo Rockets,1.88
Toledo Rockets,Ball State Cardinals,DraftKings,h2h,Ball State Cardinals,2.75
Toledo Rockets,Ball State Cardinals,DraftKings,h2h,Toledo Rockets,1.43
Toledo Rockets,Ball State Cardinals,DraftKings,spreads,Ball State Cardinals,1.83
Toledo Rockets,Ball State Cardinals,DraftKings,spreads,Toledo Rockets,1.91
Toledo Rockets,Ball State Cardinals,BetMGM,h2h,Ball State Cardinals,2.4
Toledo Rockets,Ball State Cardinals,BetMGM,h2h,Toledo Rockets,1.54
Toledo Rockets,Ball State Cardinals,BetMGM,spreads,Ball State Cardinals,1.8
Toledo Rockets,Ball State Cardinals,BetMGM,spreads,Toledo Rockets,1.95
Toledo Rockets,Ball State Cardinals,Bovada,h2h,Ball State Cardinals,1.87
Toledo Rockets,Ball State Cardinals,Bovada,h2h,Toledo Rockets,1.87
Toledo Rockets,Ball State Cardinals,Bovada,spreads,Ball State Cardinals,1.87
Toledo Rockets,Ball State Cardinals,Bovada,spreads,Toledo Rockets,1.87
Toledo Rockets,Ball State Cardinals,BetRivers,h2h,Ball State Cardinals,2.4
Toledo Rockets,Ball State Cardinals,BetRivers,h2h,Toledo Rockets,1.47
Toledo Rockets,Ball State Cardinals,BetRivers,spreads,Ball State Cardinals,1.82
